dim,gap_mHa,E_var,schema,selector_mode,en2_score_mode,proposal_mode,max_excitation_rank,max_global_select_rank,max_rank_fraction,pauli_candidate_limit,path,n_terms,active_rotation_tag,prev_dim,prev_gap,add,gain_mHa,gain_per_1k,experiment
2319,100.77268776194614,-2086.5500606163027,cr2_v1433_cas12_adaptive_topparent_hybrid,en2_topk,clipped_abs,hybrid,8.0,8.0,,,v213/results/cr2_12_12_v213_selected_turbo_20260510_170922/main_no_cas12_turbo_to15000/step000_phase0_micro250_r8_to2376/cr2_v1425_final_step000_phase0_micro250_r8_to2376.json,29717.0,active_rotation:c65788197e7dc63e,,,,,,v21.3 turbo initial to 15k
2376,61.41810801136671,-2086.5894151960533,cr2_v1433_cas12_adaptive_topparent_hybrid,en2_topk,clipped_abs,hybrid,9.0,9.0,,,v213/results/cr2_12_12_v213_selected_turbo_20260510_170922/main_no_cas12_turbo_to15000/step001_phase0_micro250_r9_to2376/cr2_v1425_final_step001_phase0_micro250_r9_to2376.json,29717.0,active_rotation:c65788197e7dc63e,2319.0,100.77268776194614,57.0,39.35457975057943,690.431223694376,v21.3 turbo initial to 15k
3376,23.12837500403475,-2086.6277049290607,cr2_v1433_cas12_adaptive_topparent_hybrid,en2_topk,clipped_abs,hybrid,9.0,9.0,,,v213/results/cr2_12_12_v213_selected_turbo_20260510_170922/main_no_cas12_turbo_to15000/step002_phase1_early250_r9_to3376/cr2_v1425_final_step002_phase1_early250_r9_to3376.json,29717.0,active_rotation:c65788197e7dc63e,2376.0,61.41810801136671,1000.0,38.28973300733196,38.28973300733196,v21.3 turbo initial to 15k
4376,13.616436475331284,-2086.6372168675894,cr2_v1433_cas12_adaptive_topparent_hybrid,en2_topk,clipped_abs,hybrid,9.0,9.0,,,v213/results/cr2_12_12_v213_selected_turbo_20260510_170922/main_no_cas12_turbo_to15000/step003_phase1_early250_r9_to4376/cr2_v1425_final_step003_phase1_early250_r9_to4376.json,29717.0,active_rotation:c65788197e7dc63e,3376.0,23.12837500403475,1000.0,9.511938528703467,9.511938528703467,v21.3 turbo initial to 15k
5376,10.178057271787111,-2086.640655246793,cr2_v1433_cas12_adaptive_topparent_hybrid,en2_topk,clipped_abs,hybrid,9.0,9.0,,,v213/results/cr2_12_12_v213_selected_turbo_20260510_170922/main_no_cas12_turbo_to15000/step004_phase1_early250_r9_to5376/cr2_v1425_final_step004_phase1_early250_r9_to5376.json,29717.0,active_rotation:c65788197e7dc63e,4376.0,13.616436475331284,1000.0,3.438379203544173,3.438379203544173,v21.3 turbo initial to 15k
5626,9.415079120572045,-2086.641418224944,cr2_v1433_cas12_adaptive_topparent_hybrid,en2_topk,clipped_abs,hybrid,9.0,9.0,,,v213/results/cr2_12_12_v213_selected_turbo_20260510_170922/main_no_cas12_turbo_to15000/step005_phase1_early250_r9_to5626/cr2_v1425_final_step005_phase1_early250_r9_to5626.json,29717.0,active_rotation:c65788197e7dc63e,5376.0,10.178057271787111,250.0,0.7629781512150657,3.051912604860263,v21.3 turbo initial to 15k
6626,7.921844267002598,-2086.6429114597977,cr2_v1433_cas12_adaptive_topparent_hybrid,en2_topk,clipped_abs,hybrid,9.0,9.0,,,v213/results/cr2_12_12_v213_selected_turbo_20260510_170922/main_no_cas12_turbo_to15000/step006_phase2_mid500_r9_to6626/cr2_v1425_final_step006_phase2_mid500_r9_to6626.json,29717.0,active_rotation:c65788197e7dc63e,5626.0,9.415079120572045,1000.0,1.4932348535694473,1.4932348535694473,v21.3 turbo initial to 15k
7626,6.949471498046478,-2086.6438838325666,cr2_v1433_cas12_adaptive_topparent_hybrid,en2_topk,clipped_abs,hybrid,9.0,9.0,,,v213/results/cr2_12_12_v213_selected_turbo_20260510_170922/main_no_cas12_turbo_to15000/step007_phase2_mid500_r9_to7626/cr2_v1425_final_step007_phase2_mid500_r9_to7626.json,29717.0,active_rotation:c65788197e7dc63e,6626.0,7.921844267002598,1000.0,0.9723727689561201,0.9723727689561201,v21.3 turbo initial to 15k
8626,6.265054708819662,-2086.644568249356,cr2_v1433_cas12_adaptive_topparent_hybrid,en2_topk,clipped_abs,hybrid,9.0,9.0,,,v213/results/cr2_12_12_v213_selected_turbo_20260510_170922/main_no_cas12_turbo_to15000/step008_phase2_mid500_r9_to8626/cr2_v1425_final_step008_phase2_mid500_r9_to8626.json,29717.0,active_rotation:c65788197e7dc63e,7626.0,6.949471498046478,1000.0,0.684416789226816,0.684416789226816,v21.3 turbo initial to 15k
9126,3.359414024544094,-2086.64747389004,cr2_v1433_cas12_adaptive_topparent_hybrid,en2_topk,clipped_abs,hybrid,10.0,10.0,,,v213/results/cr2_12_12_v213_selected_turbo_20260510_170922/main_no_cas12_turbo_to15000/step009_phase2_mid500_r10_to9126/cr2_v1425_final_step009_phase2_mid500_r10_to9126.json,29717.0,active_rotation:c65788197e7dc63e,8626.0,6.265054708819662,500.0,2.9056406842755678,5.8112813685511355,v21.3 turbo initial to 15k
