iter,selected_dim,E_var,gap_mHa,added,gain_mHa,gain_per_kdet,candidate_count,top_score,wall_seconds,dt_sec,calc_gain_mHa,calc_gain_per_kdet
0,1001,-2086.3886587609286,262.174554434296,1000,487.399548452231,487.399548452231,1818,0.2388802635402685,4.715,4.715,,
1,2001,-2086.5255303495046,125.302965857827,1000,136.871588576469,136.871588576469,97655,0.0729883239013243,12.368,7.6530000000000005,136.87158857646898,136.87158857646898
2,3001,-2086.574014288464,76.819026899557,1000,48.48393895827,48.48393895827,300000,0.0488474462672819,21.408,9.040000000000001,48.48393895827,48.48393895827
3,4001,-2086.59973273211,51.100583252719,1000,25.718443646838,25.718443646838,300000,0.0349814643195651,30.435,9.026999999999997,25.718443646838004,25.718443646838004
4,5001,-2086.61157914848,39.254166882984,1000,11.846416369735,11.846416369735,300000,0.0437888053964079,39.454,9.019000000000002,11.846416369734996,11.846416369734996
5,6001,-2086.6189981981224,31.835117240462,1000,7.419049642522,7.419049642522,300000,0.0058393939004992,48.499,9.045000000000002,7.419049642522001,7.419049642522001
6,7001,-2086.623806200652,27.027114711018,1000,4.808002529444,4.808002529444,300000,0.0042059615219558,57.568,9.068999999999996,4.808002529444,4.808002529444
7,8001,-2086.6272678898654,23.565425497509,1000,3.461689213509,3.461689213509,300000,0.003527766195655,66.535,8.966999999999999,3.4616892135090005,3.4616892135090005
8,9001,-2086.630131298249,20.702017113308,1000,2.863408384201,2.863408384201,300000,0.0035978792501724,75.604,9.069000000000003,2.8634083842010014,2.8634083842010014
9,10001,-2086.632417497397,18.415817965888,1000,2.28619914742,2.28619914742,300000,0.0026839845487212,89.367,13.763000000000005,2.2861991474199996,2.2861991474199996
10,11001,-2086.6342414952114,16.591820151461,1000,1.823997814427,1.823997814427,300000,0.0021446774200474,104.696,15.328999999999994,1.823997814426999,1.823997814426999
11,12001,-2086.6358055675214,15.027747841032,1000,1.56407231043,1.56407231043,300000,0.0020920628382931,122.134,17.438000000000002,1.564072310429001,1.564072310429001
12,13001,-2086.637130744958,13.702570404803,1000,1.325177436229,1.325177436229,300000,0.0022586704282565,145.286,23.152,1.3251774362289996,1.3251774362289996
13,14001,-2086.6382457538134,12.587561549026,1000,1.115008855777,1.115008855777,300000,0.0017967637743273,162.28,16.994,1.115008855776999,1.115008855776999
14,15001,-2086.639200714534,11.632600828761,1000,0.954960720264,0.954960720264,300000,0.0016454695857416,179.11,16.830000000000013,0.9549607202650012,0.9549607202650012
15,16001,-2086.64004778699,10.785528372708,1000,0.847072456054,0.847072456054,300000,0.0014363563885806,198.957,19.84699999999998,0.8470724560529987,0.8470724560529987
16,17001,-2086.640789801969,10.043513394066,1000,0.742014978641,0.742014978641,300000,0.0012901525863059,219.183,20.226,0.7420149786420005,0.7420149786420005
17,18001,-2086.641426658248,9.406657114596,1000,0.636856279471,0.636856279471,300000,0.0014672874521953,239.075,19.891999999999996,0.6368562794700008,0.6368562794700008
18,19001,-2086.642014329739,8.818985623748,1000,0.587671490848,0.587671490848,300000,0.0013023678188146,259.185,20.110000000000014,0.587671490847999,0.587671490847999
19,20001,-2086.642541835905,8.291479457966,1000,0.527506165781,0.527506165781,300000,0.0010997937173796,283.102,23.916999999999973,0.5275061657820004,0.5275061657820004
20,21001,-2086.6430112596577,7.822055705219,1000,0.469423752747,0.469423752747,300000,0.0010583263691571,303.04,19.938000000000045,0.46942375274699977,0.46942375274699977
21,22001,-2086.643447130339,7.386185023734,1000,0.435870681486,0.435870681486,300000,0.0011505917791003,323.939,20.899,0.4358706814850004,0.4358706814850004
22,23001,-2086.6438482329936,6.985082369283,1000,0.40110265445,0.40110265445,300000,0.0010848832691907,345.821,21.882000000000005,0.4011026544509999,0.4011026544509999
23,24001,-2086.6442141208,6.619194562973,1000,0.365887806311,0.365887806311,300000,0.0008728344622624,366.546,20.724999999999966,0.36588780630999995,0.36588780630999995
24,25001,-2086.644549168332,6.284147031238,1000,0.335047531735,0.335047531735,300000,0.0008619465087624,386.83,20.283999999999992,0.33504753173500035,0.33504753173500035
25,26001,-2086.644861196943,5.972118419777,1000,0.312028611461,0.312028611461,300000,0.0008773394205302,411.11,24.28000000000003,0.3120286114609998,0.3120286114609998
26,27001,-2086.645152332647,5.680982716058,1000,0.291135703719,0.291135703719,300000,0.0010084115520574,431.329,20.218999999999994,0.2911357037190001,0.2911357037190001
27,28001,-2086.645422061735,5.411253627699,1000,0.269729088359,0.269729088359,300000,0.0007460083521264,452.223,20.894000000000005,0.269729088359,0.269729088359
28,29001,-2086.6456785111423,5.154804220638,1000,0.256449407061,0.256449407061,300000,0.0006973205957552,473.666,21.442999999999984,0.25644940706099995,0.25644940706099995
29,30001,-2086.645911149471,4.922165891912,1000,0.232638328725,0.232638328725,300000,0.0006937141881247,495.334,21.668000000000006,0.23263832872599988,0.23263832872599988
30,31001,-2086.6461293536086,4.703961754331,1000,0.218204137582,0.218204137582,300000,0.0006846228967522,515.44,20.10600000000005,0.218204137581,0.218204137581
31,32001,-2086.6463353081126,4.498007250277,1000,0.205954504054,0.205954504054,300000,0.0006461435505908,536.76,21.319999999999936,0.20595450405399962,0.20595450405399962
32,33001,-2086.646531161436,4.302153926801,1000,0.195853323476,0.195853323476,300000,0.0006682360070232,557.968,21.20799999999997,0.19585332347600026,0.19585332347600026
33,34001,-2086.646719625487,4.113689875794,1000,0.188464051007,0.188464051007,300000,0.0006374374795099,578.975,21.007000000000062,0.18846405100700014,0.18846405100700014
34,35001,-2086.646892628927,3.940686435726,1000,0.173003440068,0.173003440068,300000,0.0006216891208619,602.586,23.61099999999999,0.17300344006799984,0.17300344006799984
35,36001,-2086.647052468069,3.78084729391,1000,0.159839141816,0.159839141816,300000,0.0006238129375584,627.76,25.173999999999978,0.15983914181600012,0.15983914181600012
36,37001,-2086.6472065297726,3.626785589859,1000,0.154061704052,0.154061704052,300000,0.0006051007598628,654.095,26.335000000000036,0.15406170405100017,0.15406170405100017
37,38001,-2086.647354260024,3.47905533863,1000,0.147730251228,0.147730251228,300000,0.0005612651165114,677.06,22.964999999999918,0.14773025122899996,0.14773025122899996
38,39001,-2086.6474923929404,3.340922422467,1000,0.138132916163,0.138132916163,300000,0.0005508068545207,702.98,25.920000000000073,0.13813291616299983,0.13813291616299983
39,40001,-2086.647622109976,3.211205386833,1000,0.129717035634,0.129717035634,300000,0.000530718962464,726.804,23.823999999999955,0.12971703563400006,0.12971703563400006
40,41001,-2086.6477486701897,3.084645173203,1000,0.12656021363,0.12656021363,300000,0.0004872360115752,755.814,29.00999999999999,0.12656021362999992,0.12656021362999992
41,42001,-2086.647868321608,2.964993754631,1000,0.119651418572,0.119651418572,300000,0.0004871828718433,781.843,26.028999999999996,0.1196514185719999,0.1196514185719999
42,43001,-2086.6479813214646,2.851993898275,1000,0.112999856356,0.112999856356,300000,0.0004786665532111,807.182,25.339000000000055,0.11299985635600018,0.11299985635600018
43,44001,-2086.64808743303,2.745882332874,1000,0.106111565401,0.106111565401,300000,0.0005024427425635,833.428,26.24599999999998,0.10611156540100009,0.10611156540100009
44,45001,-2086.648189297348,2.644018014962,1000,0.101864317912,0.101864317912,300000,0.0004741418947303,859.894,26.466000000000008,0.10186431791199979,0.10186431791199979
45,46001,-2086.6482842744913,2.5490408716,1000,0.094977143362,0.094977143362,300000,0.0004749021995379,884.914,25.019999999999982,0.09497714336200014,0.09497714336200014
46,47001,-2086.648373704328,2.459611034737,1000,0.089429836862,0.089429836862,300000,0.0004434684343522,909.072,24.158000000000015,0.08942983686299977,0.08942983686299977
47,48001,-2086.6484607625493,2.37255281354,1000,0.087058221197,0.087058221197,300000,0.0004375665212757,935.834,26.761999999999944,0.08705822119700013,0.08705822119700013
48,49001,-2086.648543044029,2.290271334005,1000,0.082281479536,0.082281479536,300000,0.0003976463424897,961.288,25.454000000000065,0.0822814795350002,0.0822814795350002
