iter,selected_dim,E_var,gap_mHa,added,gain_mHa,gain_per_kdet,candidate_count,top_score,top_abs_residual,top_denom_signed,pt2_pool_Ha,wall_seconds,dt_sec,calc_gain_mHa,calc_gain_per_kdet
0,1001,-2086.3886574849967,262.175830366232,1000,487.398272520295,487.398272520295,1818,33.24401036351635,0.0873704798252429,-0.0002296233415108,-77.85071010700503,5.192,5.192,,
1,2001,-2086.52560742264,125.225892722938,1000,136.949937643294,136.949937643294,97649,0.0061156555110602,0.0717731043020082,-0.8423264671841935,-0.6410357265859791,12.428,7.236000000000001,136.949937643294,136.949937643294
2,3001,-2086.576466379656,74.366935707531,1000,50.858957015407,50.858957015407,307484,0.0011141059182628,0.0416063678286333,-1.5537928804747023,-0.1906774527365227,19.075,6.6469999999999985,50.858957015407,50.858957015407
3,4001,-2086.60121461578,49.618699582879,1000,24.748236124651,24.748236124651,423984,0.0005443713161698,0.0347718075582947,-2.221054939812348,-0.0790717031477848,26.042,6.967000000000002,24.748236124651996,24.748236124651996
4,5001,-2086.61309456671,37.738748652828,1000,11.879950930052,11.879950930052,513006,0.0006493446560258,0.0440526582088262,-2.988608094722622,-0.0463017417573979,32.798,6.756,11.879950930051002,11.879950930051002
5,6001,-2086.6199172684624,30.916046900529,1000,6.822701752299,6.822701752299,586153,2.915897077612863e-05,0.0059342273636362,-1.2076919543455915,-0.0325268981091055,38.333,5.534999999999997,6.822701752299,6.822701752299
6,7001,-2086.6245692199823,26.264095380611,1000,4.651951519918,4.651951519918,630982,1.398115182922868e-05,0.0060169254313888,-2.589442707517719,-0.0261847592551386,43.623,5.289999999999999,4.651951519918001,4.651951519918001
7,8001,-2086.628009826142,22.823489221082,1000,3.440606159529,3.440606159529,668108,6.731951401620269e-06,0.0041736165484727,-2.587522406874996,-0.0216597414033276,48.804,5.1810000000000045,3.4406061595290005,3.4406061595290005
8,9001,-2086.6306627403815,20.170574980966,1000,2.652914240116,2.652914240116,692107,4.637845246231011e-06,0.0032158229108272,-2.2298107083684044,-0.0186370147935789,54.115,5.311,2.652914240116001,2.652914240116001
9,10001,-2086.632908580647,17.924734715962,1000,2.245840265005,2.245840265005,712229,3.707406633932368e-06,0.0028234165876704,-2.150204176302396,-0.0162657397694292,65.984,11.868999999999993,2.2458402650039986,2.2458402650039986
