iter,selected_dim,E_var,gap_mHa,added,gain_mHa,gain_per_kdet,candidate_count,top_score,top_abs_residual,top_denom_signed,pt2_pool_Ha,wall_seconds
0,1001,-2086.3886574849966564,262.175830366232,1000,487.398272520295,487.398272520295,1818,33.24401036351635,0.08737047982524299,-0.00022962334151088726,-77.85071010700503,5.192
1,2001,-2086.5256074226399505,125.225892722938,1000,136.949937643294,136.949937643294,97649,0.006115655511060293,0.07177310430200828,-0.8423264671841935,-0.6410357265859791,12.428
2,3001,-2086.5764663796553577,74.366935707531,1000,50.858957015407,50.858957015407,307484,0.001114105918262842,0.041606367828633334,-1.5537928804747025,-0.19067745273652276,19.075
3,4001,-2086.6012146157800089,49.618699582879,1000,24.748236124651,24.748236124651,423984,0.0005443713161698006,0.034771807558294766,-2.2210549398123476,-0.07907170314778489,26.042
4,5001,-2086.6130945667100605,37.738748652828,1000,11.879950930052,11.879950930052,513006,0.0006493446560258291,0.04405265820882628,-2.988608094722622,-0.04630174175739795,32.798
5,6001,-2086.6199172684623591,30.916046900529,1000,6.822701752299,6.822701752299,586153,2.915897077612863e-05,0.005934227363636211,-1.2076919543455915,-0.032526898109105536,38.333
6,7001,-2086.6245692199822770,26.264095380611,1000,4.651951519918,4.651951519918,630982,1.3981151829228679e-05,0.006016925431388877,-2.589442707517719,-0.02618475925513864,43.623
7,8001,-2086.6280098261418061,22.823489221082,1000,3.440606159529,3.440606159529,668108,6.731951401620269e-06,0.0041736165484727965,-2.587522406874996,-0.02165974140332763,48.804
8,9001,-2086.6306627403819220,20.170574980966,1000,2.652914240116,2.652914240116,692107,4.637845246231011e-06,0.003215822910827244,-2.2298107083684044,-0.01863701479357892,54.115
9,10001,-2086.6329085806469266,17.924734715962,1000,2.245840265005,2.245840265005,712229,3.7074066339323674e-06,0.0028234165876704384,-2.1502041763023954,-0.016265739769429237,65.984
10,11001,-2086.6347605919640955,16.072723398793,1000,1.852011317169,1.852011317169,728981,3.144081682854502e-06,0.002080236840664765,-1.3763590611711152,-0.01445575072189859,79.649
