rank,flat_index,alpha_addr,beta_addr,alpha_string,beta_string,excitation_rank,coeff_abs,coeff,Hii
1,0,0,0,63,63,0,0.6437805104514205,0.6437805104514205,-2085.9012592124764
2,78625,85,85,559,559,2,0.12688500711549922,-0.12688500711549922,-2085.8535711790882
3,79550,86,86,567,567,2,0.11490933313863878,-0.11490933313863878,-2085.8704106449054
4,78626,85,86,559,567,2,0.1140365326321235,-0.1140365326321235,-2085.8950287605035
5,79549,86,85,567,559,2,0.1140357901479028,-0.1140357901479028,-2085.8950287605035
6,3700,4,4,123,123,2,0.106808308612654,-0.106808308612654,-2085.3380295231527
7,7477,8,85,175,559,2,0.09070296320104985,-0.09070296320104985,-2085.8760520822298
8,78548,85,8,559,175,2,0.09070123569815099,-0.09070123569815099,-2085.8760520822298
9,8402,9,86,183,567,2,0.09041117340282086,0.09041117340282086,-2085.8782093948266
10,79473,86,9,567,183,2,0.09040890291798509,0.09040890291798509,-2085.8782093948266
11,431975,467,467,2110,2110,2,0.08892376474839207,-0.08892376474839207,-2085.351522795981
12,197950,214,214,1085,1085,2,0.08890854893311703,-0.08890854893311703,-2085.3513506845165
13,8324,9,8,183,175,2,0.0874650850905914,0.0874650850905914,-2085.8753164791683
14,7401,8,9,175,183,2,0.0874635332006574,0.0874635332006574,-2085.8753164791683
15,25900,28,28,287,287,2,0.08312213196617035,-0.08312213196617035,-2085.672625908025
16,8325,9,9,183,183,2,0.08265852626905294,-0.08265852626905294,-2085.8360162103504
17,7392,8,0,175,63,1,0.08176797002653455,-0.08176797002653455,-2085.892969192023
18,8,0,8,63,175,1,0.08175999031137585,-0.08175999031137585,-2085.892969192023
19,101750,110,110,679,679,4,0.07945799720133598,0.07945799720133598,-2085.5463310178125
20,8316,9,0,183,63,1,0.07620503790844046,-0.07620503790844046,-2085.8859349114464
21,9,0,9,63,183,1,0.0762047631257349,-0.0762047631257349,-2085.8859349114464
22,7400,8,8,175,175,2,0.07349573260633133,-0.07349573260633133,-2085.8485410509734
23,27806,30,86,311,567,2,0.05885138830794941,0.05885138830794941,-2085.870509253837
24,79494,86,30,567,311,2,0.05885109906523649,0.05885109906523649,-2085.870509253837
25,26881,29,85,303,559,2,0.058801113593720554,-0.058801113593720554,-2085.8651534565893
26,78569,85,29,559,303,2,0.058798068981282134,-0.058798068981282134,-2085.8651534565893
27,8345,9,29,183,303,2,0.05750616130010025,0.05750616130010025,-2085.848891767039
28,26805,29,9,303,183,2,0.057504924573419096,0.057504924573419096,-2085.848891767039
29,7422,8,30,175,311,2,0.05747441698180367,0.05747441698180367,-2085.852862549695
30,27728,30,8,311,175,2,0.0574711741234718,0.0574711741234718,-2085.852862549695
31,29,0,29,63,303,1,0.05737411901273613,-0.05737411901273613,-2085.8734013154763
32,26796,29,0,303,63,1,0.05734860784284477,-0.05734860784284477,-2085.8734013154763
33,4163,4,467,123,2110,2,0.05693858884879861,0.05693858884879861,-2085.355534224022
34,431512,467,4,2110,123,2,0.056938310852631346,0.056938310852631346,-2085.3555342240215
35,197740,214,4,1085,123,2,0.05684325332308676,-0.05684325332308676,-2085.3553037554434
36,3910,4,214,123,1085,2,0.05684309115959673,-0.05684309115959673,-2085.3553037554434
37,27720,30,0,311,63,1,0.05358270791722531,-0.05358270791722531,-2085.8699516685538
38,30,0,30,63,311,1,0.053575299407736796,-0.053575299407736796,-2085.8699516685538
39,25879,28,7,287,159,2,0.053377742831398275,0.053377742831398275,-2085.6696583241182
