iter,selected_dim,E_var,gap_mHa,added,gain_mHa,gain_per_kdet,candidate_count,top_score,wall_seconds
0,1001,-2086.3886587609285925,262.174554434296,1000,487.399548452231,487.399548452231,1818,0.23888026354026856,5.202
1,2001,-2086.5255303495050612,125.302965857827,1000,136.871588576469,136.871588576469,97655,0.07298832390132437,13.622
2,3001,-2086.5740142884633315,76.819026899557,1000,48.483938958270,48.483938958270,300000,0.04884744626728195,23.540
3,4001,-2086.5997327321101693,51.100583252719,1000,25.718443646838,25.718443646838,300000,0.03498146431956514,33.647
4,5001,-2086.6115791484799047,39.254166882984,1000,11.846416369735,11.846416369735,300000,0.043788805396407914,43.688
5,6001,-2086.6189981981224264,31.835117240462,1000,7.419049642522,7.419049642522,300000,0.0058393939004992715,53.763
6,7001,-2086.6238062006518703,27.027114711018,1000,4.808002529444,4.808002529444,300000,0.004205961521955844,63.824
7,8001,-2086.6272678898653794,23.565425497509,1000,3.461689213509,3.461689213509,300000,0.003527766195655034,73.976
8,9001,-2086.6301312982495801,20.702017113308,1000,2.863408384201,2.863408384201,300000,0.0035978792501724227,84.007
9,10001,-2086.6324174973970003,18.415817965888,1000,2.286199147420,2.286199147420,300000,0.002683984548721266,105.672
10,11001,-2086.6342414952114268,16.591820151461,1000,1.823997814427,1.823997814427,300000,0.0021446774200474666,127.207
11,12001,-2086.6358055675218566,15.027747841032,1000,1.564072310430,1.564072310430,300000,0.002092062838293187,149.332
12,13001,-2086.6371307449580854,13.702570404803,1000,1.325177436229,1.325177436229,300000,0.0022586704282565196,177.835
13,14001,-2086.6382457538138624,12.587561549026,1000,1.115008855777,1.115008855777,300000,0.001796763774327398,199.993
14,15001,-2086.6392007145341267,11.632600828761,1000,0.954960720264,0.954960720264,300000,0.0016454695857416601,221.877
15,16001,-2086.6400477869901806,10.785528372708,1000,0.847072456054,0.847072456054,300000,0.0014363563885807,247.380
16,17001,-2086.6407898019688218,10.043513394066,1000,0.742014978641,0.742014978641,300000,0.0012901525863059022,272.585
17,18001,-2086.6414266582482924,9.406657114596,1000,0.636856279471,0.636856279471,300000,0.0014672874521953305,298.828
18,19001,-2086.6420143297391405,8.818985623748,1000,0.587671490848,0.587671490848,300000,0.0013023678188146578,324.913
19,20001,-2086.6425418359049218,8.291479457966,1000,0.527506165781,0.527506165781,300000,0.0010997937173796344,354.162
20,21001,-2086.6430112596576691,7.822055705219,1000,0.469423752747,0.469423752747,300000,0.0010583263691571491,379.205
21,22001,-2086.6434471303391547,7.386185023734,1000,0.435870681486,0.435870681486,300000,0.0011505917791003132,405.071
22,23001,-2086.6438482329936051,6.985082369283,1000,0.401102654450,0.401102654450,300000,0.0010848832691907851,429.913
23,24001,-2086.6442141207999157,6.619194562973,1000,0.365887806311,0.365887806311,300000,0.0008728344622624508,455.304
24,25001,-2086.6445491683316504,6.284147031238,1000,0.335047531735,0.335047531735,300000,0.0008619465087624862,481.728
25,26001,-2086.6448611969431113,5.972118419777,1000,0.312028611461,0.312028611461,300000,0.0008773394205302408,511.994
26,27001,-2086.6451523326468305,5.680982716058,1000,0.291135703719,0.291135703719,300000,0.0010084115520575018,538.140
27,28001,-2086.6454220617351893,5.411253627699,1000,0.269729088359,0.269729088359,300000,0.0007460083521264972,565.193
28,29001,-2086.6456785111422505,5.154804220638,1000,0.256449407061,0.256449407061,300000,0.0006973205957552409,591.475
29,30000,-2086.6459109118409287,4.922403521959,999,0.232400698678,0.232633332010,300000,0.0006937141881247585,623.755
