rank,flat_index,alpha_addr,beta_addr,alpha_string,beta_string,coeff_abs,coeff
1,0,0,0,63,63,0.6541199982420663,0.6541199982420663
2,78625,85,85,559,559,0.1287028486480562,-0.1287028486480562
3,79550,86,86,567,567,0.11576793069935322,-0.11576793069935322
4,79549,86,85,567,559,0.11534201398945793,-0.11534201398945793
5,78626,85,86,559,567,0.11527404792258658,-0.11527404792258658
6,3700,4,4,123,123,0.10894655469251698,-0.10894655469251698
7,7477,8,85,175,559,0.09073842032834604,-0.09073842032834604
8,78548,85,8,559,175,0.09073808805803382,-0.09073808805803382
9,431975,467,467,2110,2110,0.09062055241756133,-0.09062055241756133
10,197950,214,214,1085,1085,0.09061624946940065,-0.09061624946940065
11,8402,9,86,183,567,0.09040117259950825,0.09040117259950825
12,79473,86,9,567,183,0.09036432704612747,0.09036432704612747
13,7401,8,9,175,183,0.08823078699860801,0.08823078699860801
14,8324,9,8,183,175,0.08822639260081563,0.08822639260081563
15,8325,9,9,183,183,0.08454240865202117,-0.08454240865202117
16,25900,28,28,287,287,0.08248005437673359,-0.08248005437673359
17,101750,110,110,679,679,0.08146419508402222,0.08146419508402222
18,7392,8,0,175,63,0.08070602600914886,-0.08070602600914886
19,8,0,8,63,175,0.0806224269311146,-0.0806224269311146
20,8316,9,0,183,63,0.07531944832560508,-0.07531944832560508
21,9,0,9,63,183,0.07529271641217941,-0.07529271641217941
22,7400,8,8,175,175,0.07476111641020582,-0.07476111641020582
23,79494,86,30,567,311,0.058701058044041375,0.058701058044041375
24,26881,29,85,303,559,0.05865912852784362,-0.05865912852784362
25,27806,30,86,311,567,0.05865845098812621,0.05865845098812621
26,78569,85,29,559,303,0.05863612567552356,-0.05863612567552356
27,431512,467,4,2110,123,0.05833902886279913,0.05833902886279913
28,4163,4,467,123,2110,0.05832958223653055,0.05832958223653055
29,197740,214,4,1085,123,0.05826455263810014,-0.05826455263810014
30,3910,4,214,123,1085,0.058257376010362814,-0.058257376010362814
31,8345,9,29,183,303,0.0572040180240592,0.0572040180240592
32,26805,29,9,303,183,0.057202473228530774,0.057202473228530774
33,27728,30,8,311,175,0.05714398058556383,0.05714398058556383
34,7422,8,30,175,311,0.057107131562074136,0.057107131562074136
35,26796,29,0,303,63,0.05560821331383144,-0.05560821331383144
36,29,0,29,63,303,0.05558745948394218,-0.05558745948394218
37,27729,30,9,311,183,0.05273378649607919,-0.05273378649607919
38,8346,9,30,183,311,0.052685329479857775,-0.052685329479857775
39,25879,28,7,287,159,0.05267067447932968,0.05267067447932968
40,6496,7,28,159,287,0.05265441097285669,0.05265441097285669
41,134090,145,110,807,679,0.05204032865603221,0.05204032865603221
42,101785,110,145,679,807,0.05201800627196115,0.05201800627196115
43,30,0,30,63,311,0.051954286557975043,-0.051954286557975043
44,27720,30,0,311,63,0.05189485478444894,-0.05189485478444894
45,1935,2,87,111,571,0.050213270751667746,-0.050213270751667746
46,80390,87,2,571,111,0.05021229444258339,-0.05021229444258339
47,2859,3,87,119,571,0.047668514583609156,-0.047668514583609156
48,80391,87,3,571,119,0.047649717744293975,-0.047649717744293975
49,78544,85,4,559,123,0.046030306124188076,-0.046030306124188076
50,3781,4,85,123,559,0.04602049091604616,-0.04602049091604616
51,26804,29,8,303,175,0.045984408650936795,-0.045984408650936795
52,7421,8,29,175,303,0.0459430334584768,-0.0459430334584768
53,198203,214,467,1085,2110,0.04443784634600356,0.04443784634600356
54,431722,467,214,2110,1085,0.04442862649859358,0.04442862649859358
55,79468,86,4,567,123,0.04356590161208604,-0.04356590161208604
56,3782,4,86,123,567,0.043560863974655466,-0.043560863974655466
57,431593,467,85,2110,559,0.04238132365807838,0.04238132365807838
58,79007,85,467,559,2110,0.04237737410558681,0.04237737410558681
59,197821,214,85,1085,559,0.04236553602950635,-0.04236553602950635
60,78754,85,214,559,1085,0.042356905444297384,-0.042356905444297384
61,82699,89,463,574,2095,0.042103866580807,0.042103866580807
62,427901,463,89,2095,574,0.04209977527391414,0.04209977527391414
63,81523,88,211,573,1071,0.0420596032358602,-0.0420596032358602
64,195052,211,88,1071,573,0.042042836916590234,-0.042042836916590234
65,2782,3,10,119,187,0.04201581849256277,0.04201581849256277
66,9243,10,3,187,119,0.04200950973765945,0.04200950973765945
67,79931,86,467,567,2110,0.040299697229819575,0.040299697229819575
68,431594,467,86,2110,567,0.04028372662244085,0.04028372662244085
69,79678,86,214,567,1085,0.04027808234019815,-0.04027808234019815
70,197822,214,86,1085,567,0.04025524552711098,-0.04025524552711098
71,1858,2,10,111,187,0.0400849437826103,-0.0400849437826103
72,9242,10,2,187,111,0.04005886999600925,-0.04005886999600925
73,3705,4,9,123,183,0.03840231293028719,0.03840231293028719
74,8320,9,4,183,123,0.03838113986742786,0.03838113986742786
75,428825,464,89,2103,574,0.03803842035265168,0.03803842035265168
76,82700,89,464,574,2103,0.038026088448018164,0.038026088448018164
77,81524,88,212,573,1079,0.03800089754650567,-0.03800089754650567
